gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Student_Name,Name_Meaning
female,group C,some college,standard,none,73,80,82,Amani,"Wishes, aspirations"
female,group C,some college,free/reduced,none,76,83,88,Maha,"Wild cow, rare jewel"
female,group D,associate's degree,standard,none,71,71,74,Farah,"Joy, cheerfulness"
female,group A,some college,standard,none,58,70,67,Naila,"Acquirer, achiever"
female,group D,some high school,standard,none,73,86,82,Maha,"Wild cow, rare jewel"
female,group C,bachelor's degree,standard,none,65,72,74,Hafsa,"Cub, young lioness"
male,group C,high school,free/reduced,none,27,34,36,Mustafa,The chosen one
male,group C,high school,standard,none,71,79,71,Arif,"Knowing, knowledgeable"
male,group C,associate's degree,free/reduced,completed,43,45,50,Jude,"Generosity, goodness"
female,group B,some college,standard,none,79,86,92,Yasmin,Jasmine flower
male,group C,associate's degree,free/reduced,completed,78,81,82,Nael,"Achiever, winner"
male,group B,some high school,standard,completed,65,66,62,Anas,"Friendliness, affection"
female,group E,some college,standard,completed,63,72,70,Safa,"Purity, clarity"
female,group D,some college,free/reduced,none,58,67,62,Dalal,"Coquettishness, pampered"
female,group D,bachelor's degree,standard,none,65,67,62,Rania,"Queen, gazing intently"
male,group B,some college,standard,none,79,67,67,Karim,"Generous, noble"
male,group D,bachelor's degree,standard,completed,68,74,74,Aziz,"Powerful, respected, beloved"
female,group D,associate's degree,standard,none,85,91,89,Huda,Right guidance
male,group B,high school,standard,completed,60,44,47,Mustafa,The chosen one
male,group C,some college,standard,completed,98,86,90,Yunus,"Jonah, dove"
female,group C,some college,standard,none,58,67,72,Salma,"Safe, peaceful"
female,group D,master's degree,standard,none,87,100,100,Amara,"Eternal beauty, urgent news"
male,group E,associate's degree,standard,completed,66,63,64,Isa,"Jesus, God is salvation"
female,group B,associate's degree,free/reduced,none,52,76,70,Tasnim,Fountain in paradise
female,group B,some high school,standard,none,70,64,72,Inaya,"Concern, care, protection from God"
female,group D,associate's degree,free/reduced,completed,77,89,98,Sarah,"Princess, bringer of joy"
male,group C,high school,standard,none,62,55,49,Ayan,"Gift of God, time, epoch"
male,group A,associate's degree,standard,none,54,53,47,Rami,"Archer, marksman"
female,group D,some college,standard,none,51,58,54,Farah,"Joy, cheerfulness"
female,group E,bachelor's degree,standard,completed,99,100,100,Amani,"Wishes, aspirations"
male,group C,high school,standard,none,84,77,74,Karim,"Generous, noble"
female,group B,bachelor's degree,free/reduced,none,75,85,82,Karima,"Generous, noble"
female,group D,bachelor's degree,standard,none,78,82,79,Maha,"Wild cow, rare jewel"
female,group D,some high school,standard,none,51,63,61,Tasnim,Fountain in paradise
female,group C,some college,standard,none,55,69,65,Salma,"Safe, peaceful"
female,group C,bachelor's degree,standard,completed,79,92,89,Layla,"Night, dark beauty"
male,group B,associate's degree,standard,completed,91,89,92,Habib,"Beloved, dear friend"
female,group C,some college,standard,completed,88,93,93,Sarah,"Princess, bringer of joy"
male,group D,high school,free/reduced,none,63,57,56,Rayan,"Luxuriant, gate of heaven"
male,group E,some college,standard,none,83,80,73,Faris,"Knight, horseman"
female,group B,high school,standard,none,87,95,86,Rida,"Contentment, favored by God"
male,group B,some high school,standard,none,72,68,67,Rami,"Archer, marksman"
male,group D,some college,standard,completed,65,77,74,Jafar,"Stream, rivulet"
male,group D,master's degree,standard,none,82,82,74,Nael,"Achiever, winner"
female,group A,bachelor's degree,standard,none,51,49,51,Dalal,"Coquettishness, pampered"
male,group D,master's degree,standard,none,89,84,82,Habib,"Beloved, dear friend"
male,group C,some high school,free/reduced,completed,53,37,40,Nasir,"Helper, protector"
male,group E,some college,free/reduced,completed,87,74,70,Rayan,"Luxuriant, gate of heaven"
female,group C,some college,standard,completed,75,81,84,Karima,"Generous, noble"
male,group D,bachelor's degree,free/reduced,completed,74,79,75,Faiz,"Victorious, successful"
male,group C,bachelor's degree,standard,none,58,55,48,Ehsan,"Excellence, kindness"
male,group B,some high school,standard,completed,51,54,41,Jamil,"Beautiful, radiant"
male,group E,high school,standard,none,70,55,56,Faiz,"Victorious, successful"
female,group C,associate's degree,standard,none,59,66,67,Amira,"Princess, leader"
male,group D,some college,standard,completed,71,61,69,Luqman,"Wise, a prophet/sage in the Quran"
female,group D,some high school,standard,none,76,72,71,Aya,"Sign, miracle, verse from the Quran"
female,group C,some college,free/reduced,none,59,62,64,Hafsa,"Cub, young lioness"
female,group E,some college,free/reduced,completed,42,55,54,Naila,"Acquirer, achiever"
male,group A,high school,standard,none,57,43,47,Nasir,"Helper, protector"
male,group D,some college,standard,none,88,73,78,Omar,"Long-lived, flourishing"
female,group C,some college,free/reduced,none,22,39,33,Jude,"Generosity, goodness"
male,group B,some high school,standard,none,88,84,75,Sajid,One who prostrates in worship
male,group C,associate's degree,free/reduced,none,73,68,66,Jafar,"Stream, rivulet"
female,group D,bachelor's degree,standard,completed,68,75,81,Hafsa,"Cub, young lioness"
male,group E,associate's degree,free/reduced,completed,100,100,93,Nasir,"Helper, protector"
male,group A,some high school,standard,completed,62,67,69,Nael,"Achiever, winner"
male,group A,bachelor's degree,standard,none,77,67,68,Nael,"Achiever, winner"
female,group B,associate's degree,standard,completed,59,70,66,Lina,"Tender, palm tree"
male,group D,bachelor's degree,standard,none,54,49,47,Rida,"Contentment, favored by God"
male,group D,some high school,standard,none,62,67,61,Rida,"Contentment, favored by God"
female,group C,some college,standard,completed,70,89,88,Samira,Entertaining companion
female,group E,high school,free/reduced,completed,66,74,78,Sofia,"Wisdom, beautiful"
male,group B,some college,free/reduced,none,60,60,60,Ibrahim,"Father of many nations, Prophet Abraham"
female,group B,associate's degree,standard,completed,61,86,87,Nour,Divine light
male,group D,associate's degree,free/reduced,none,66,62,64,Omar,"Long-lived, flourishing"
male,group B,associate's degree,free/reduced,completed,82,78,74,Amin,"Trustworthy, faithful"
female,group E,some college,free/reduced,completed,75,88,85,Lina,"Tender, palm tree"
male,group B,master's degree,free/reduced,none,49,53,52,Habib,"Beloved, dear friend"
male,group C,high school,standard,none,52,53,49,Mikael,Angel of mercy and rain
female,group E,master's degree,standard,none,81,92,91,Hana,"Happiness, bliss"
female,group C,bachelor's degree,standard,completed,96,100,100,Huda,Right guidance
male,group C,high school,free/reduced,completed,53,51,51,Haroon,"Aaron, high mountain, protector"
female,group B,master's degree,free/reduced,completed,58,76,78,Nora,"Light, illumination"
female,group B,high school,standard,completed,68,83,78,Basma,A smile
female,group C,some college,free/reduced,completed,67,75,70,Leen,"Softness, tenderness"
male,group A,high school,standard,completed,72,73,74,Rayan,"Luxuriant, gate of heaven"
male,group E,some high school,standard,none,94,88,78,Ehsan,"Excellence, kindness"
female,group D,some college,standard,none,79,86,81,Mariam,"Mary, pious, beloved"
female,group C,associate's degree,standard,none,63,67,70,Mariam,"Mary, pious, beloved"
female,group C,bachelor's degree,free/reduced,completed,43,51,54,Dalal,"Coquettishness, pampered"
female,group C,master's degree,standard,completed,81,91,87,Amani,"Wishes, aspirations"
female,group B,high school,free/reduced,completed,46,54,58,Rida,"Contentment, favored by God"
female,group C,associate's degree,standard,completed,71,77,77,Karima,"Generous, noble"
female,group B,master's degree,free/reduced,completed,52,70,62,Amal,"Hope, aspiration"
female,group D,some high school,standard,completed,97,100,100,Nour,Divine light
male,group C,master's degree,free/reduced,completed,62,68,75,Idris,"Studious, Prophet Enoch"
female,group C,some college,free/reduced,none,46,64,66,Amina,"Trustworthy, peaceful"
female,group E,high school,standard,none,50,50,47,Amara,"Eternal beauty, urgent news"
female,group D,associate's degree,standard,none,65,69,70,Amani,"Wishes, aspirations"
male,group C,some high school,free/reduced,completed,45,52,49,Hamza,"Strong, steadfast, lion"
male,group C,associate's degree,free/reduced,completed,65,67,65,Isa,"Jesus, God is salvation"
male,group E,high school,standard,none,80,76,65,Amin,"Trustworthy, faithful"
male,group D,some high school,standard,completed,62,66,68,Amin,"Trustworthy, faithful"
male,group B,some high school,free/reduced,none,48,52,45,Habib,"Beloved, dear friend"
female,group C,bachelor's degree,standard,none,77,88,87,Nora,"Light, illumination"
female,group E,associate's degree,standard,none,66,65,69,Inaya,"Concern, care, protection from God"
male,group D,some college,standard,completed,76,83,79,Rida,"Contentment, favored by God"
female,group B,some high school,standard,none,62,64,66,Huda,Right guidance
male,group D,some college,standard,completed,77,62,62,Selim,"Safe, secure, flawless"
female,group C,master's degree,standard,completed,69,84,85,Nora,"Light, illumination"
male,group D,associate's degree,standard,none,61,55,52,Amin,"Trustworthy, faithful"
male,group C,some high school,free/reduced,completed,59,69,65,Zayd,"Growth, abundance"
male,group E,high school,free/reduced,none,55,56,51,Ehsan,"Excellence, kindness"
female,group B,some college,free/reduced,none,45,53,55,Amara,"Eternal beauty, urgent news"
female,group B,bachelor's degree,free/reduced,none,78,79,76,Layla,"Night, dark beauty"
female,group C,associate's degree,standard,completed,67,84,86,Ayah,"Evidence, sign"
female,group D,some college,free/reduced,none,65,81,77,Huda,Right guidance
male,group C,associate's degree,standard,none,69,77,69,Danyal,"Known, famous, intellectually sharp"
female,group B,associate's degree,standard,none,57,69,68,Hadiya,"Guide to righteousness, gift"
male,group C,some college,standard,none,59,41,42,Amal,"Hope, aspiration"
male,group D,some high school,standard,completed,74,71,78,Amal,"Hope, aspiration"
male,group E,bachelor's degree,standard,none,82,62,62,Nour,Divine light
male,group E,high school,standard,completed,81,80,76,Omar,"Long-lived, flourishing"
female,group B,some college,free/reduced,none,74,81,76,Ayah,"Evidence, sign"
female,group B,some college,free/reduced,none,58,61,66,Khadija,"Trustworthy, first wife of the Prophet"
male,group D,some high school,free/reduced,completed,80,79,79,Farhan,"Happy, glad"
male,group C,some college,free/reduced,none,35,28,27,Khalid,"Eternal, immortal"
female,group C,high school,free/reduced,none,42,62,60,Hadiya,"Guide to righteousness, gift"
male,group C,associate's degree,free/reduced,completed,60,51,56,Shadi,"Singer, seeker of knowledge"
male,group E,high school,standard,completed,87,91,81,Karim,"Generous, noble"
male,group B,some high school,standard,completed,84,83,75,Rayan,"Luxuriant, gate of heaven"
female,group E,associate's degree,free/reduced,completed,83,86,88,Maha,"Wild cow, rare jewel"
female,group C,high school,free/reduced,none,34,42,39,Sana,"Radiance, brilliance, mountaintop"
male,group B,high school,free/reduced,none,66,77,70,Arif,"Knowing, knowledgeable"
male,group B,some high school,standard,completed,61,56,56,Luqman,"Wise, a prophet/sage in the Quran"
female,group D,high school,standard,completed,56,68,74,Reem,White gazelle
male,group B,associate's degree,standard,none,87,85,73,Amal,"Hope, aspiration"
female,group C,some high school,free/reduced,none,55,65,62,Anisa,"Friendly, good companion"
male,group D,some high school,standard,none,86,80,75,Ali,"High, exalted"
female,group B,associate's degree,standard,completed,52,66,73,Daniya,"Kind-hearted, close, near"
female,group E,master's degree,free/reduced,none,45,56,54,Dalal,"Coquettishness, pampered"
female,group C,some college,standard,none,72,72,71,Jude,"Generosity, goodness"
male,group D,high school,standard,none,57,50,54,Ayan,"Gift of God, time, epoch"
male,group A,some high school,free/reduced,none,68,72,64,Rida,"Contentment, favored by God"
female,group C,some college,standard,completed,88,95,94,Amani,"Wishes, aspirations"
male,group D,some college,standard,none,76,64,66,Ibrahim,"Father of many nations, Prophet Abraham"
male,group C,associate's degree,standard,none,46,43,42,Jamil,"Beautiful, radiant"
female,group B,bachelor's degree,standard,none,67,86,83,Ayla,"Moonlight, halo"
male,group E,some high school,standard,none,92,87,78,Sajid,One who prostrates in worship
male,group C,bachelor's degree,standard,completed,83,82,84,Habib,"Beloved, dear friend"
male,group D,associate's degree,standard,none,80,75,77,Habib,"Beloved, dear friend"
male,group D,bachelor's degree,free/reduced,none,63,66,67,Anas,"Friendliness, affection"
female,group D,some high school,standard,completed,64,60,74,Nora,"Light, illumination"
male,group B,some college,standard,none,54,52,51,Tariq,"Morning star, night visitor"
male,group C,associate's degree,standard,none,84,80,80,Nasir,"Helper, protector"
male,group D,high school,free/reduced,completed,73,68,66,Zayd,"Growth, abundance"
female,group E,bachelor's degree,standard,none,80,83,83,Amani,"Wishes, aspirations"
female,group D,high school,standard,none,56,52,55,Farah,"Joy, cheerfulness"
male,group E,some college,standard,none,59,51,43,Bilal,"Moisture, the Prophet's first muezzin"
male,group D,some high school,standard,none,75,74,69,Bilal,"Moisture, the Prophet's first muezzin"
male,group C,associate's degree,standard,none,85,76,71,Yunus,"Jonah, dove"
male,group E,associate's degree,standard,none,89,76,74,Yunus,"Jonah, dove"
female,group B,high school,standard,completed,58,70,68,Amal,"Hope, aspiration"
female,group B,high school,standard,none,65,64,62,Aisha,"Alive, prosperous"
male,group C,high school,standard,none,68,60,53,Luqman,"Wise, a prophet/sage in the Quran"
male,group A,some high school,standard,completed,47,49,49,Yunus,"Jonah, dove"
female,group D,some college,free/reduced,none,71,83,83,Sofia,"Wisdom, beautiful"
female,group B,some high school,standard,completed,60,70,70,Jannah,"Heaven, paradise"
male,group D,master's degree,standard,none,80,80,72,Jude,"Generosity, goodness"
male,group D,high school,standard,none,54,52,52,Faiz,"Victorious, successful"
female,group E,some college,standard,none,62,73,70,Nour,Divine light
female,group C,associate's degree,free/reduced,none,64,73,68,Naila,"Acquirer, achiever"
male,group C,associate's degree,standard,completed,78,77,77,Danyal,"Known, famous, intellectually sharp"
female,group B,some college,standard,none,70,75,78,Nora,"Light, illumination"
female,group C,master's degree,free/reduced,completed,65,81,81,Nadia,"Hope, delicate"
female,group C,some high school,free/reduced,completed,64,79,77,Leen,"Softness, tenderness"
male,group C,some college,standard,completed,79,79,78,Ali,"High, exalted"
female,group C,some high school,free/reduced,none,44,50,51,Tasnim,Fountain in paradise
female,group E,high school,standard,none,99,93,90,Safiya,"Pure, untroubled, chosen friend"
male,group D,high school,standard,none,76,73,68,Faiz,"Victorious, successful"
male,group D,some high school,free/reduced,none,59,42,41,Rayan,"Luxuriant, gate of heaven"
female,group C,bachelor's degree,standard,none,63,75,81,Leen,"Softness, tenderness"
female,group D,high school,standard,none,69,72,77,Inaya,"Concern, care, protection from God"
female,group D,associate's degree,standard,completed,88,92,95,Amira,"Princess, leader"
female,group E,some college,free/reduced,none,71,76,70,Jannah,"Heaven, paradise"
male,group C,bachelor's degree,standard,none,69,63,61,Jamil,"Beautiful, radiant"
male,group C,some college,standard,none,58,49,42,Yunus,"Jonah, dove"
female,group D,associate's degree,free/reduced,none,47,53,58,Layla,"Night, dark beauty"
female,group D,some college,standard,none,65,70,71,Samira,Entertaining companion
male,group B,some college,standard,completed,88,85,76,Shadi,"Singer, seeker of knowledge"
male,group C,bachelor's degree,standard,none,83,78,73,Yunus,"Jonah, dove"
female,group C,some high school,standard,completed,85,92,93,Zara,"Radiance, blooming flower"
female,group E,high school,standard,completed,59,63,75,Jamila,"Beautiful, elegant"
female,group C,some high school,free/reduced,none,65,86,80,Reem,White gazelle
male,group B,bachelor's degree,free/reduced,none,73,56,57,Mustafa,The chosen one
male,group D,high school,standard,none,53,52,42,Ali,"High, exalted"
male,group D,high school,standard,none,45,48,46,Yunus,"Jonah, dove"
female,group D,bachelor's degree,free/reduced,none,73,79,84,Karima,"Generous, noble"
female,group D,some college,free/reduced,completed,70,78,78,Safiya,"Pure, untroubled, chosen friend"
female,group B,some high school,standard,none,37,46,46,Khadija,"Trustworthy, first wife of the Prophet"
male,group B,associate's degree,standard,completed,81,82,82,Youssef,"Joseph, God increases in honor"
male,group E,associate's degree,standard,completed,97,82,88,Jude,"Generosity, goodness"
female,group B,some high school,standard,none,67,89,82,Ayah,"Evidence, sign"
male,group B,bachelor's degree,free/reduced,none,88,75,76,Rami,"Archer, marksman"
male,group E,some high school,standard,completed,77,76,77,Amin,"Trustworthy, faithful"
male,group C,associate's degree,standard,none,76,70,68,Hassan,"Beautiful, handsome, doer of good"
male,group D,some high school,standard,none,86,73,70,Nour,Divine light
male,group C,some high school,standard,completed,63,60,57,Farhan,"Happy, glad"
female,group E,bachelor's degree,standard,none,65,73,75,Jannah,"Heaven, paradise"
male,group D,high school,free/reduced,completed,78,77,80,Shadi,"Singer, seeker of knowledge"
male,group B,associate's degree,free/reduced,none,67,62,60,Malik,"King, master"
male,group A,some high school,standard,completed,46,41,43,Bilal,"Moisture, the Prophet's first muezzin"
male,group E,associate's degree,standard,completed,71,74,68,Farhan,"Happy, glad"
male,group C,high school,free/reduced,completed,40,46,50,Amir,"Prince, commander"
male,group D,associate's degree,free/reduced,none,90,87,75,Rida,"Contentment, favored by God"
male,group A,some college,free/reduced,completed,81,78,81,Arif,"Knowing, knowledgeable"
male,group D,some high school,free/reduced,none,56,54,52,Aziz,"Powerful, respected, beloved"
female,group C,associate's degree,standard,completed,67,84,81,Nour,Divine light
male,group B,associate's degree,standard,none,80,76,64,Amir,"Prince, commander"
female,group C,associate's degree,standard,completed,74,75,83,Salma,"Safe, peaceful"
male,group A,some college,standard,none,69,67,69,Adam,"Earth, the first prophet"
male,group E,some college,standard,completed,99,87,81,Amin,"Trustworthy, faithful"
male,group C,some high school,standard,none,51,52,44,Jude,"Generosity, goodness"
female,group B,associate's degree,free/reduced,none,53,71,67,Karima,"Generous, noble"
female,group D,high school,free/reduced,none,49,57,52,Dalal,"Coquettishness, pampered"
female,group B,associate's degree,standard,none,73,76,80,Amani,"Wishes, aspirations"
male,group B,bachelor's degree,standard,none,66,60,57,Isa,"Jesus, God is salvation"
male,group D,bachelor's degree,standard,completed,67,61,68,Imran,"Prosperity, host"
female,group C,associate's degree,free/reduced,completed,68,67,69,Basma,A smile
female,group C,bachelor's degree,standard,completed,59,64,75,Amara,"Eternal beauty, urgent news"
male,group C,high school,standard,none,71,66,65,Rayan,"Luxuriant, gate of heaven"
female,group D,master's degree,standard,completed,77,82,91,Yasmin,Jasmine flower
male,group C,associate's degree,standard,none,83,72,78,Yunus,"Jonah, dove"
male,group B,bachelor's degree,standard,none,63,71,69,Nael,"Achiever, winner"
female,group D,associate's degree,free/reduced,none,56,65,63,Zara,"Radiance, blooming flower"
female,group C,high school,free/reduced,completed,67,79,84,Ayah,"Evidence, sign"
female,group E,high school,standard,none,75,86,79,Rania,"Queen, gazing intently"
female,group C,some college,standard,none,71,81,80,Anisa,"Friendly, good companion"
female,group C,some high school,free/reduced,none,43,53,53,Aisha,"Alive, prosperous"
female,group C,high school,free/reduced,none,41,46,43,Aya,"Sign, miracle, verse from the Quran"
female,group C,some college,standard,none,82,90,94,Fatima,"Captivating, daughter of the Prophet"
male,group C,some college,standard,none,61,61,62,Omar,"Long-lived, flourishing"
male,group A,some college,free/reduced,none,28,23,19,Ehsan,"Excellence, kindness"
male,group C,associate's degree,standard,completed,82,75,77,Khalid,"Eternal, immortal"
female,group B,some high school,standard,none,41,55,51,Amira,"Princess, leader"
male,group C,high school,standard,none,71,60,61,Kamil,"Perfect, complete"
male,group C,associate's degree,standard,none,47,37,35,Hamza,"Strong, steadfast, lion"
male,group E,associate's degree,standard,completed,62,56,53,Karim,"Generous, noble"
male,group B,associate's degree,standard,none,90,78,81,Haroon,"Aaron, high mountain, protector"
female,group C,bachelor's degree,standard,none,83,93,95,Hadiya,"Guide to righteousness, gift"
female,group B,some college,free/reduced,none,61,68,66,Samira,Entertaining companion
male,group D,some high school,standard,completed,76,70,69,Yunus,"Jonah, dove"
male,group C,associate's degree,standard,none,49,51,43,Jude,"Generosity, goodness"
female,group B,some high school,free/reduced,none,24,38,27,Farah,"Joy, cheerfulness"
female,group D,some high school,free/reduced,completed,35,55,60,Rania,"Queen, gazing intently"
male,group C,high school,free/reduced,none,58,61,52,Kamil,"Perfect, complete"
female,group C,high school,standard,none,61,73,63,Fatima,"Captivating, daughter of the Prophet"
female,group B,high school,standard,completed,69,76,74,Ayah,"Evidence, sign"
male,group D,associate's degree,standard,completed,67,72,67,Sami,"Hearing, elevated, sublime"
male,group D,some college,standard,none,79,73,67,Rida,"Contentment, favored by God"
female,group C,high school,standard,none,72,80,75,Huda,Right guidance
male,group B,some college,standard,none,62,61,57,Jude,"Generosity, goodness"
female,group C,bachelor's degree,standard,completed,77,94,95,Jamila,"Beautiful, elegant"
male,group D,high school,free/reduced,none,75,74,66,Youssef,"Joseph, God increases in honor"
male,group E,associate's degree,standard,none,87,74,76,Yunus,"Jonah, dove"
female,group B,bachelor's degree,standard,none,52,65,69,Nadia,"Hope, delicate"
male,group E,some college,standard,none,66,57,52,Mikael,Angel of mercy and rain
female,group C,some college,standard,completed,63,78,80,Ayah,"Evidence, sign"
female,group C,associate's degree,standard,none,46,58,57,Sofia,"Wisdom, beautiful"
female,group C,some college,standard,none,59,71,70,Samira,Entertaining companion
female,group B,bachelor's degree,standard,none,61,72,70,Mariam,"Mary, pious, beloved"
male,group A,associate's degree,standard,none,63,61,61,Rami,"Archer, marksman"
female,group C,some college,free/reduced,completed,42,66,69,Dalal,"Coquettishness, pampered"
male,group D,some college,free/reduced,none,59,62,61,Jude,"Generosity, goodness"
female,group D,some college,standard,none,80,90,89,Nour,Divine light
female,group B,high school,standard,none,58,62,59,Ayah,"Evidence, sign"
male,group B,some high school,standard,completed,85,84,78,Adam,"Earth, the first prophet"
female,group C,some college,standard,none,52,58,58,Nour,Divine light
female,group D,some high school,free/reduced,none,27,34,32,Sofia,"Wisdom, beautiful"
